=>> Grammar used: 
Grammar with 10 productions (start state = S)
    S -> S '+' R [0.4]
    S -> R [0.6]
    R -> T [0.6]
    R -> 'C' '*' F '(' T ')' [0.4]
    T -> T '*' V [0.4]
    T -> 'C' [0.6]
    F -> 'sqrt' [0.333333]
    F -> 'exp' [0.333333]
    F -> 'log' [0.333333]
    V -> 'x' [1.0]

ModelBox: 1025 models
-> C0*x, p = 0.091663294464, parse trees = 3, valid = False
-> C0*x**2 + C1*sqrt(C2*x), p = 0.0008949281587200001, parse trees = 3, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x) + C4, p = 6.618673380977491e-06, parse trees = 19, valid = False
-> C0*x**5, p = 0.0022151014907904, parse trees = 2, valid = False
-> C0*x + C1*exp(C2*x), p = 0.002425299444443381, parse trees = 10, valid = False
-> C0*log(C1*x**3), p = 0.0030782914560000003, parse trees = 2, valid = False
-> C0*x**5 + C1, p = 0.0013069633894090835, parse trees = 40, valid = False
-> C0*x**8 + C1*x + C2*sqrt(C3*x**2) + C4, p = 1.3679683868137888e-12, parse trees = 1, valid = False
-> C0*x**3 + C1*x**2 + C2*x + C3, p = 1.4838760116607643e-05, parse trees = 16, valid = False
-> C0*x + C1*exp(C2*x**2) + C3*log(C4*x) + C5, p = 1.2372060289353667e-06, parse trees = 8, valid = False
-> C0*x + C1*exp(C2*x**3), p = 0.00037427871744, parse trees = 4, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x**3), p = 7.914651648e-05, parse trees = 3, valid = False
-> C0*sqrt(C1*x**4) + C2, p = 0.0006670950711750034, parse trees = 34, valid = False
-> C0*exp(C1*x**5), p = 0.0004915200000000001, parse trees = 1, valid = False
-> C0*x**4 + C1*x, p = 0.0006920475770879999, parse trees = 5, valid = False
-> C0*x**5 + C1*x, p = 0.0002552266572064358, parse trees = 3, valid = False
-> C0*x**2 + C1*log(C2*x**4) + C3, p = 1.7365461212239374e-05, parse trees = 9, valid = False
-> C0*exp(C1*x**4) + C2, p = 0.0007110308990130587, parse trees = 26, valid = False
-> C0*exp(C1*x**5) + C2, p = 0.0002516280410112001, parse trees = 19, valid = False
-> C0*x**2 + C1*x + C2*log(C3*x) + C4, p = 4.0146594857256645e-05, parse trees = 60, valid = False
-> C0*x**6 + C1*exp(C2*x) + C3, p = 3.863344557588481e-06, parse trees = 5, valid = False
-> C0*x**2 + C1*log(C2*x) + C3, p = 0.0006312593813008089, parse trees = 71, valid = False
-> C0*x**3 + C1*sqrt(C2*x) + C3, p = 0.00019532672788942905, parse trees = 37, valid = False
-> C0*sqrt(C1*x**4), p = 0.0012288000000000002, parse trees = 1, valid = False
-> C0*x**6 + C1*sqrt(C2*x**2) + C3, p = 1.3045963161600002e-06, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**3) + C4, p = 1.6938360595965542e-05, parse trees = 10, valid = False
-> C0*sqrt(C1*x**5) + C2, p = 0.00025067301208326145, parse trees = 23, valid = False
-> C0*x**3 + C1*x**2 + C2*x, p = 9.215211768643585e-05, parse trees = 6, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**2) + C4, p = 0.00010757406529243057, parse trees = 29, valid = False
-> C0*x + C1*log(C2*x**2), p = 0.0009671747095756801, parse trees = 8, valid = False
-> C0*x**2 + C1*log(C2*x), p = 0.0009107826278400001, parse trees = 5, valid = False
-> C0*log(C1*x**4), p = 0.0012288000000000002, parse trees = 1, valid = False
-> C0*x**4 + C1*x + C2*sqrt(C3*x**3) + C4*exp(C5*x), p = 8.349416423424e-09, parse trees = 1, valid = False
-> C0*exp(C1*x**3) + C2, p = 0.0019406682611599203, parse trees = 59, valid = False
-> C0*exp(C1*x**2) + C2*exp(C3*x**3), p = 3.148949225472001e-05, parse trees = 3, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x) + C4, p = 0.0002998124564953066, parse trees = 42, valid = False
-> C0*x**7 + C1*sqrt(C2*x) + C3, p = 1.658322773947944e-07, parse trees = 3, valid = False
-> C0*x**2 + C1*exp(C2*x**3) + C3, p = 5.869889082898157e-05, parse trees = 15, valid = False
-> C0*x**2 + C1*exp(C2*x), p = 0.0009053551447769089, parse trees = 5, valid = False
-> C0*x**3 + C1*x**2 + C2, p = 0.00042273063087310117, parse trees = 46, valid = False
-> C0*x**4 + C1*sqrt(C2*x), p = 0.00014155776, parse trees = 2, valid = False
-> C0*log(C1*x**6), p = 0.00019660800000000005, parse trees = 1, valid = False
-> C0*exp(C1*x**4), p = 0.0012288000000000002, parse trees = 1, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3, p = 0.0007026011730229619, parse trees = 80, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*log(C4*x) + C5, p = 2.745621606475233e-06, parse trees = 8, valid = False
-> C0*x + C1*exp(C2*x**3) + C3, p = 0.00021532766453771204, parse trees = 39, valid = False
-> C0*sqrt(C1*x**4) + C2*exp(C3*x) + C4, p = 7.372069428076218e-06, parse trees = 6, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x), p = 5.6625809210921186e-05, parse trees = 5, valid = False
-> C0*x**6 + C1, p = 0.000499713486159348, parse trees = 28, valid = False
-> C0*x**4 + C1*x**2, p = 0.00026067465142272004, parse trees = 4, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**4), p = 3.1658606592000006e-05, parse trees = 3, valid = False
-> C0*x**2 + C1*sqrt(C2*x**5) + C3, p = 2.391006146199552e-06, parse trees = 5, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*exp(C4*x**2) + C5, p = 3.203444951639655e-06, parse trees = 13, valid = False
-> C0*x**6 + C1*x + C2, p = 2.0800679208187683e-05, parse trees = 13, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*exp(C4*x), p = 1.69869312e-05, parse trees = 3, valid = False
-> C0*x**3 + C1*log(C2*x), p = 0.00035552514539520004, parse trees = 3, valid = False
-> C0*x + C1*log(C2*x) + C3*log(C4*x**2) + C5, p = 3.594649946697813e-06, parse trees = 11, valid = False
-> C0*exp(C1*x) + C2*log(C3*x), p = 0.0004946657279999999, parse trees = 3, valid = False
-> C0*x**5 + C1*log(C2*x**5), p = 7.247757312000001e-07, parse trees = 1, valid = False
-> C0*log(C1*x**6) + C2, p = 6.180726374400003e-05, parse trees = 5, valid = False
-> C0*x**4 + C1*exp(C2*x) + C3, p = 4.926607486019963e-05, parse trees = 14, valid = False
-> C0*x**2 + C1*log(C2*x**2) + C3, p = 0.00020999309413311158, parse trees = 32, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**2) + C4, p = 5.123222512939074e-05, parse trees = 16, valid = False
-> C0*sqrt(C1*x**7) + C2, p = 2.301200055077438e-05, parse trees = 4, valid = False
-> C0*x**5 + C1*x**2 + C2*x + C3*sqrt(C4*x**2) + C5, p = 4.135790861975931e-13, parse trees = 1, valid = False
-> C0*sqrt(C1*x**6) + C2, p = 8.693538652107575e-05, parse trees = 11, valid = False
-> C0*x + C1*sqrt(C2*x**3) + C3, p = 0.00022192959214688502, parse trees = 42, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x) + C4, p = 3.817082378797789e-05, parse trees = 34, valid = False
-> C0*x**4 + C1*log(C2*x), p = 0.00014155776, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*sqrt(C4*x**2), p = 1.13246208e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*x**2, p = 0.00066049265369088, parse trees = 7, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x) + C4, p = 3.9737844973926124e-05, parse trees = 46, valid = False
-> C0*x**2 + C1*log(C2*x**7), p = 1.8119393280000003e-06, parse trees = 1, valid = False
-> C0*x**3 + C1*log(C2*x**3) + C3, p = 7.672679777665985e-06, parse trees = 10, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**5), p = 6.291456000000001e-06, parse trees = 1, valid = False
-> C0*log(C1*x**5), p = 0.0004915200000000001, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**3), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*x**4 + C1*x**3 + C2*x, p = 5.870683422720001e-06, parse trees = 2, valid = False
-> C0*x**2 + C1*exp(C2*x**3), p = 0.0001431885053952, parse trees = 3, valid = False
-> C0*exp(C1*x**3) + C2*log(C3*x**2) + C4, p = 5.1781199462400014e-06, parse trees = 5, valid = False
-> C0*x + C1*log(C2*x**3), p = 0.00036408655872, parse trees = 3, valid = False
-> C0*x**3 + C1*sqrt(C2*x**2) + C3*exp(C4*x) + C5*log(C6*x) + C7, p = 1.6698832846848002e-09, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**2) + C4, p = 0.00011241110529638403, parse trees = 26, valid = False
-> C0*x**7 + C1*x**2 + C2*x, p = 2.7052109211893763e-08, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*log(C3*x) + C4*log(C5*x**3), p = 5.033164800000001e-07, parse trees = 1, valid = False
-> C0*x**2 + C1*exp(C2*x**4) + C3, p = 6.2478277222072335e-06, parse trees = 7, valid = False
-> C0*x**7 + C1*log(C2*x), p = 4.529848320000001e-06, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**3) + C4, p = 2.6983931974778884e-05, parse trees = 12, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x**4) + C4*log(C5*x**2), p = 3.3397665693696004e-09, parse trees = 1, valid = False
-> C0*x**3 + C1*sqrt(C2*x) + C3*exp(C4*x**2) + C5, p = 1.8844169011200004e-07, parse trees = 3, valid = False
-> C0*x**3 + C1*log(C2*x**3), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**3), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*log(C4*x**2) + C5, p = 2.5747929553878397e-06, parse trees = 9, valid = False
-> C0*exp(C1*x**2) + C2*exp(C3*x**3) + C4, p = 5.608958853120002e-06, parse trees = 5, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x**2) + C4, p = 2.8432760054996207e-06, parse trees = 11, valid = False
-> C0*x**4 + C1*exp(C2*x**4), p = 4.529848320000001e-06, parse trees = 1, valid = False
-> C0*log(C1*x**9), p = 1.2582912000000006e-05, parse trees = 1, valid = False
-> C0*x**4 + C1*sqrt(C2*x**3) + C3, p = 2.0006477355810815e-06, parse trees = 3, valid = False
-> C0*x**4 + C1*x + C2*exp(C3*x**6), p = 4.174708211712001e-08, parse trees = 1, valid = False
-> C0*x**2 + C1*sqrt(C2*x**2) + C3, p = 0.0002197720753204196, parse trees = 36, valid = False
-> C0*x**5 + C1*x**3 + C2*x**2 + C3, p = 3.1164029812101624e-10, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*log(C3*x) + C4, p = 0.00030546922995384476, parse trees = 45, valid = False
-> C0*x**4 + C1*x + C2*exp(C3*x**2), p = 6.522981580800001e-06, parse trees = 4, valid = False
-> C0*x**3 + C1*log(C2*x) + C3, p = 0.0002259022572140102, parse trees = 40, valid = False
-> C0*x**5 + C1*x**2, p = 0.00010309572388454401, parse trees = 3, valid = False
-> C0*x**6 + C1*x, p = 0.00010485692891136002, parse trees = 3, valid = False
-> C0*exp(C1*x**2) + C2*log(C3*x**4) + C4, p = 1.1260824429527043e-06, parse trees = 3, valid = False
-> C0*x**2 + C1*exp(C2*x**2) + C3, p = 0.00016795115960642793, parse trees = 27, valid = False
-> C0*x + C1*log(C2*x**4) + C3, p = 4.250671677785192e-05, parse trees = 16, valid = False
-> C0*exp(C1*x**2) + C2*log(C3*x), p = 0.0001978662912, parse trees = 3, valid = False
-> C0*x**2 + C1*x + C2*log(C3*x**2), p = 5.099460873651487e-05, parse trees = 6, valid = False
-> C0*x + C1*sqrt(C2*x**4) + C3, p = 6.382945667192036e-05, parse trees = 20, valid = False
-> C0*sqrt(C1*x**3) + C2*exp(C3*x), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*x + C2*log(C3*x**2) + C4, p = 1.2778935465312624e-06, parse trees = 5, valid = False
-> C0*x**5 + C1*x**2 + C2*x, p = 2.9353417113600007e-06, parse trees = 1, valid = False
-> C0*x**3 + C1*exp(C2*x), p = 0.00035615932416000005, parse trees = 3, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x) + C4*log(C5*x) + C6, p = 3.878190376617091e-12, parse trees = 2, valid = False
-> C0*x**3 + C1*exp(C2*x**2), p = 0.00014155776, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**2) + C4, p = 9.228428315665527e-05, parse trees = 21, valid = False
-> C0*x**4 + C1*x**2 + C2*exp(C3*x**3), p = 2.6091926323200006e-07, parse trees = 1, valid = False
-> C0*x**6 + C1*x**2 + C2*x + C3, p = 1.7418965769887646e-07, parse trees = 4, valid = False
-> C0*x**5 + C1*sqrt(C2*x**2) + C3*log(C4*x**2), p = 5.7982058496e-08, parse trees = 1, valid = False
-> C0*x + C1*log(C2*x**3) + C3, p = 0.0001766167733357499, parse trees = 31, valid = False
-> C0*x + C1*exp(C2*x) + C3*exp(C4*x**3) + C5, p = 1.0823797908664444e-07, parse trees = 7, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x) + C4, p = 0.00010032114145689605, parse trees = 23, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**5), p = 6.291456e-06, parse trees = 1, valid = False
-> C0*x**4 + C1*sqrt(C2*x**2), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**2), p = 0.000196608, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*log(C4*x) + C5, p = 1.4143193835324307e-05, parse trees = 25, valid = False
-> C0*x + C1*exp(C2*x**5) + C3*log(C4*x), p = 7.247757312000001e-07, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**3) + C4*log(C5*x) + C6, p = 1.0436907326118686e-08, parse trees = 2, valid = False
-> C0*x**3 + C1*exp(C2*x) + C3*log(C4*x**3), p = 3.623878656e-07, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x) + C4*log(C5*x**2) + C6*log(C7*x**3), p = 2.5769803776000008e-09, parse trees = 1, valid = False
-> C0*x**4 + C1*exp(C2*x**5), p = 3.6238786560000007e-06, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x**8) + C4, p = 5.798205849600002e-08, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**4) + C4, p = 4.101022679040001e-06, parse trees = 5, valid = False
-> C0*x + C1*exp(C2*x**5) + C3, p = 1.929354920159944e-05, parse trees = 9, valid = False
-> C0*x**3 + C1*x + C2*log(C3*x**2), p = 8.153726976e-06, parse trees = 2, valid = False
-> C0*x**7 + C1*x, p = 2.1558454124544002e-05, parse trees = 2, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*exp(C4*x**7) + C5, p = 4.809263859892226e-10, parse trees = 1, valid = False
-> C0*sqrt(C1*x**3) + C2*exp(C3*x**2), p = 1.5728640000000003e-05, parse trees = 1, valid = False
-> C0*x**2 + C1*sqrt(C2*x**2), p = 0.0003538944, parse trees = 2, valid = False
-> C0*x + C1*exp(C2*x**2), p = 0.0009634421145600001, parse trees = 6, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x**5) + C4*exp(C5*x**2) + C6*log(C7*x) + C8, p = 2.4623430962648203e-12, parse trees = 1, valid = False
-> C0*exp(C1*x**4) + C2*log(C3*x**2), p = 1.2582912000000002e-05, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x**8), p = 1.8119393280000007e-06, parse trees = 1, valid = False
-> C0*x**2 + C1*x + C2*log(C3*x**2) + C4, p = 6.6663121718093665e-06, parse trees = 22, valid = False
-> C0*x**2 + C1*exp(C2*x**2), p = 0.00035797126348800003, parse trees = 3, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**2), p = 0.000196608, parse trees = 2, valid = False
-> C0*x**3 + C1*x**2 + C2*x + C3*exp(C4*x) + C5, p = 3.384206223662487e-08, parse trees = 3, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x**2) + C4*log(C5*x) + C6, p = 1.0820843684757508e-09, parse trees = 1, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**2) + C4*log(C5*x) + C6, p = 1.887275370218206e-08, parse trees = 2, valid = False
-> C0*sqrt(C1*x**3) + C2*log(C3*x) + C4, p = 1.2080521622323202e-05, parse trees = 10, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*exp(C4*x**4) + C5, p = 5.218385264640001e-08, parse trees = 1, valid = False
-> C0*x**5 + C1*exp(C2*x) + C3*log(C4*x**2) + C5, p = 4.432217573276675e-13, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**3), p = 7.914651648000001e-05, parse trees = 3, valid = False
-> C0*x**3 + C1*x + C2*log(C3*x), p = 5.1547861942272005e-05, parse trees = 6, valid = False
-> C0*x**3 + C1*sqrt(C2*x**4) + C3, p = 9.596030681088003e-07, parse trees = 3, valid = False
-> C0*x**4 + C1*sqrt(C2*x) + C3*log(C4*x), p = 9.059696640000001e-07, parse trees = 1, valid = False
-> C0*x**4 + C1*x**2 + C2, p = 0.00014635179129768351, parse trees = 29, valid = False
-> C0*sqrt(C1*x**4) + C2*log(C3*x**4), p = 1.0066329600000004e-06, parse trees = 1, valid = False
-> C0*x**3 + C1*log(C2*x**2), p = 0.00014155776, parse trees = 2, valid = False
-> C0*exp(C1*x**3) + C2*log(C3*x) + C4, p = 2.5165824000000005e-05, parse trees = 6, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x) + C4*log(C5*x**2) + C6, p = 3.6238786559999996e-07, parse trees = 2, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**2) + C4, p = 6.192421067554085e-06, parse trees = 23, valid = False
-> C0*log(C1*x) + C2*log(C3*x**2) + C4*log(C5*x**3) + C6, p = 4.2571715837952015e-09, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*log(C4*x), p = 5.74384766976e-05, parse trees = 5, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x), p = 0.00015585153764787488, parse trees = 9, valid = False
-> C0*x**7 + C1*exp(C2*x) + C3, p = 2.0873541058560008e-08, parse trees = 1, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**3) + C4, p = 6.058891559244953e-07, parse trees = 3, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**2), p = 0.0001978662912, parse trees = 3, valid = False
-> C0*x**3 + C1*sqrt(C2*x**3) + C3, p = 1.158925050863748e-05, parse trees = 8, valid = False
-> C0*exp(C1*x**6), p = 0.00019660800000000005, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**4) + C4*log(C5*x) + C6, p = 2.994842899788595e-08, parse trees = 3, valid = False
-> C0*x**7, p = 0.0003538944000000001, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**2) + C4, p = 0.00011343901843206128, parse trees = 27, valid = False
-> C0*x**4 + C1*exp(C2*x**2) + C3*log(C4*x) + C5, p = 5.218385264640001e-08, parse trees = 1, valid = False
-> C0*x + C1*sqrt(C2*x**3), p = 0.00036408655872, parse trees = 3, valid = False
-> C0*x**4 + C1*exp(C2*x**3) + C3*log(C4*x**2), p = 1.1596411699200003e-07, parse trees = 2, valid = False
-> C0*x**2 + C1*sqrt(C2*x**3), p = 0.00014155776000000003, parse trees = 2, valid = False
-> C0*sqrt(C1*x**4) + C2*exp(C3*x**4) + C4, p = 1.4495514624000005e-07, parse trees = 1, valid = False
-> C0*x**5 + C1*x**3 + C2*sqrt(C3*x**2) + C4*log(C5*x), p = 1.3359066277478404e-09, parse trees = 1, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**4), p = 5.410421842378752e-09, parse trees = 1, valid = False
-> C0*x**4 + C1*exp(C2*x), p = 0.000142463729664, parse trees = 3, valid = False
-> C0*x**5 + C1*x**2 + C2, p = 3.243440894394088e-05, parse trees = 12, valid = False
-> C0*x**3 + C1*sqrt(C2*x) + C3*exp(C4*x) + C5, p = 3.5896339363844966e-07, parse trees = 6, valid = False
-> C0*x**2 + C1*x + C2*log(C3*x**4) + C4, p = 2.3590999569267327e-07, parse trees = 3, valid = False
-> C0*x**8, p = 0.00014155776000000005, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x**4), p = 0.000145634623488, parse trees = 3, valid = False
-> C0*x**3 + C1*sqrt(C2*x), p = 0.0003538944, parse trees = 2, valid = False
-> C0*x**5 + C1*log(C2*x**2) + C3, p = 3.262572874768476e-06, parse trees = 3, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**6), p = 2.5165824000000007e-06, parse trees = 1, valid = False
-> C0*x**8 + C1*x**2 + C2*x + C3, p = 7.569908963336473e-09, parse trees = 3, valid = False
-> C0*x**4 + C1*x**2 + C2*exp(C3*x**2), p = 1.3045963161600002e-06, parse trees = 2, valid = False
-> C0*x**6 + C1*x**5 + C2, p = 4.1747082117120016e-08, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x), p = 0.0004978114559999999, parse trees = 4, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**2), p = 3.117707055687794e-05, parse trees = 5, valid = False
-> C0*x**7 + C1*x + C2*exp(C3*x), p = 2.609192632320001e-07, parse trees = 1, valid = False
-> C0*x**4 + C1*exp(C2*x**6) + C3, p = 3.3397665693696017e-09, parse trees = 1, valid = False
